Thread Count,Run,Time Taken (s)
1,1,14.357261725
1,2,14.569513891
1,3,14.704727641
1,4,14.827723863
1,5,14.954488045
2,1,5.179657496
2,2,5.203483108
2,3,5.181491369
2,4,5.191894149
2,5,5.182689980
4,1,2.213096466
4,2,2.212490473
4,3,2.218602072
4,4,2.221953928
4,5,2.211640064
8,1,2.393312715
8,2,2.410972899
8,3,2.419508126
8,4,2.448519940
8,5,2.405278174
16,1,2.431864491
16,2,2.474337775
16,3,2.476597664
16,4,2.415535368
16,5,2.437715722
32,1,2.831119063
32,2,2.824944056
32,3,2.792794163
32,4,2.800032916
32,5,2.812802685
